date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:30:05	932710/932710	---MCZ	200	added ('OK')	application/javascript	etag:%22e3b66-5515f115305f4-gzip%22	http://emberhouse.com/wp-content/themes/emberhouse/bin/min.js	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/themes/emberhouse/bin/min.js	(from http://emberhouse.com/)
11:30:16	40408/40408	---M--	200	added ('OK')	application/x-font-woff	etag:%229dd8-54d9d3f3334b4%22	http://emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Light.woff	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Light.woff	(from http://emberhouse.com/wp-content/themes/emberhouse/bin/min.css)
11:30:17	89316/89316	---M--	200	added ('OK')	application/x-font-ttf	etag:%2215ce4-54d9d3f332514%22	http://emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Extrabld.ttf	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Extrabld.ttf	(from http://emberhouse.com/wp-content/themes/emberhouse/bin/min.css)
11:30:20	90708/90708	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2216254-54d9d3f3334b4%22	http://emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Light.eot	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Light.eot	(from http://emberhouse.com/wp-content/themes/emberhouse/bin/min.css)
11:30:20	90708/90708	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2216254-54d9d3f3334b4%22	http://emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Light.eot?	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Lightd41d.eot	(from http://emberhouse.com/wp-content/themes/emberhouse/bin/min.css)
11:30:30	40312/40312	---M--	200	added ('OK')	application/x-font-woff	etag:%229d78-54d9d3f334454%22	http://emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Regular.woff	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Regular.woff	(from http://emberhouse.com/wp-content/themes/emberhouse/bin/min.css)
11:30:31	90452/90452	---M--	200	added ('OK')	application/x-font-ttf	etag:%2216154-54d9d3f3334b4%22	http://emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Light.ttf	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Light.ttf	(from http://emberhouse.com/wp-content/themes/emberhouse/bin/min.css)
11:30:34	90372/90372	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2216104-54d9d3f334454%22	http://emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Regular.eot	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Regular.eot	(from http://emberhouse.com/wp-content/themes/emberhouse/bin/min.css)
11:30:36	90372/90372	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2216104-54d9d3f334454%22	http://emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Regular.eot?	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Regulard41d.eot	(from http://emberhouse.com/wp-content/themes/emberhouse/bin/min.css)
11:30:41	38804/38804	---M--	200	added ('OK')	application/x-font-woff	etag:%229794-54d9d3f32f634%22	http://emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Black.woff	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Black.woff	(from http://emberhouse.com/wp-content/themes/emberhouse/bin/min.css)
11:30:46	90112/90112	---M--	200	added ('OK')	application/x-font-ttf	etag:%2216000-54d9d3f334454%22	http://emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Regular.ttf	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Regular.ttf	(from http://emberhouse.com/wp-content/themes/emberhouse/bin/min.css)
